역이름,역지역,lat,long,호선
목동역,수도권,37.52612248118,126.864607193772,05호선
오목교역,수도권,37.5245304608023,126.875289218474,05호선
양평역,수도권,37.5255688309654,126.886419299276,05호선
영등포구청역,수도권,37.5258305232222,126.896668349116,05호선
영등포시장역,수도권,37.5227021758736,126.905179576089,05호선
신길역,수도권,37.5167834187845,126.918353640838,05호선
여의도역,수도권,37.5211664706025,126.924638422261,05호선
여의나루역,수도권,37.5271361343623,126.932981451891,05호선
마포역,수도권,37.5395405068307,126.945846741087,05호선
공덕역,수도권,37.5445344743163,126.95143307723,05호선
애오개역,수도권,37.553402332792,126.956655789028,05호선
충정로역,수도권,37.5597479688989,126.964484159441,05호선
서대문역,수도권,37.5657492320378,126.966631900266,05호선
광화문역,수도권,37.5716441018605,126.976409565513,05호선
종로3가역,수도권,37.5704208439207,126.992144196794,05호선
을지로4가역,수도권,37.5666368996611,126.997623004003,05호선
동대문역사문화공원역,수도권,37.5656454859141,127.008987189553,05호선
청구역,수도권,37.5602029883938,127.013921207826,05호선
신금호역,수도권,37.5544716890745,127.020484110799,05호선
행당역,수도권,37.5573529744311,127.029493728053,05호선
왕십리역,수도권,37.5612611631671,127.037078472459,05호선
마장역,수도권,37.5661245472562,127.042966737062,05호선
답십리역,수도권,37.5669676097486,127.05254316093,05호선
장한평역,수도권,37.5615921805583,127.063699193793,05호선
군자역,수도권,37.5571496975138,127.079494769075,05호선
아차산역,수도권,37.5522410643204,127.089561549724,05호선
광나루역,수도권,37.545291967554,127.103516928227,05호선
천호역,수도권,37.5384968055586,127.123919374783,05호선
강동역,수도권,37.5358747268317,127.132378184615,05호선
길동역,수도권,37.5378120875517,127.140007691428,05호선
삼송역,수도권,37.6530677292421,126.895653717805,03호선
굽은다리역,수도권,37.545503186603,127.14287366158,05호선
명일역,수도권,37.5513942973681,127.144039211129,05호선
고덕역,수도권,37.5550395608369,127.154163861206,05호선
상일동역,수도권,37.5566634789051,127.165892145281,05호선
둔촌동역,수도권,37.527653243694,127.136210118019,05호선
올림픽공원역,수도권,37.5163245709914,127.130963650207,05호선
방이역,수도권,37.5087434268367,127.126086986658,05호선
오금역,수도권,37.5021280700015,127.127930582636,05호선
개롱역,수도권,37.4979574766853,127.13507053201,05호선
마천역,수도권,37.495034582344,127.152841764562,05호선
응암역,수도권,37.598483842041,126.915524077713,06호선
역촌역,수도권,37.6062193423086,126.922831293899,06호선
불광역,수도권,37.6100441859992,126.930302239049,06호선
연신내역,수도권,37.6191924317614,126.921096185129,06호선
구산역,수도권,37.6112430835611,126.917253818257,06호선
새절역,수도권,37.5908600347313,126.913562546888,06호선
증산역,수도권,37.5837391279813,126.909472356624,06호선
디지털미디어시티역,수도권,37.5760020219691,126.901263083061,06호선
월드컵경기장역,수도권,37.5696211494292,126.899098167507,06호선
마포구청역,수도권,37.5634799638172,126.903407498445,06호선
망원역,수도권,37.5560790523854,126.910094334311,06호선
합정역,수도권,37.549901442065,126.914447288631,06호선
상수역,수도권,37.5477625707505,126.922416317552,06호선
광흥창역,수도권,37.5474801664168,126.932012687537,06호선
대흥역,수도권,37.5476298835021,126.942468676122,06호선
공덕역,수도권,37.5445344743163,126.95143307723,06호선
효창공원앞역,수도권,37.5392943328525,126.961393582224,06호선
삼각지역,수도권,37.534432134689,126.972913902586,06호선
녹사평역,수도권,37.5347047736434,126.986536101295,06호선
이태원역,수도권,37.534507184382,126.994320286276,06호선
한강진역,수도권,37.5397871707134,127.001742505154,06호선
